Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-6072.483	-6271.908	199.4242	0.9435003	1.757712	0.546781	5.292019
6	-6063.075	-6263.183	200.1081	1.005106	2.238635	0.546781	4.720507
12	-6074.777	-6275.111	200.3336	1.087069	2.245855	0.546781	4.545962
18	-6063.472	-6264.53	201.0585	1.080453	2.245855	0.5035611	4.179339
24	-6071.652	-6270.989	199.3379	0.9908837	2.245855	0.5035611	5.192984
30	-6069.372	-6269.901	200.5293	1.013477	1.709886	0.4698638	4.726592
36	-6076.177	-6276.547	200.3698	1.170844	1.709886	0.4710934	4.726592
42	-6062.832	-6263.212	200.3795	1.123583	2.218104	0.4710934	4.577589
48	-6063.447	-6263.411	199.9647	1.038191	2.218104	0.3790828	4.952237
54	-6069.799	-6269.05	199.2508	1.002867	2.164455	0.4197687	5.33992
60	-6065.556	-6265.479	199.9226	1.008449	2.193885	0.3664206	5.013714
66	-6067.702	-6267.08	199.3782	0.9455215	2.508165	0.3896126	5.23448
72	-6071.151	-6269.973	198.8222	0.9859015	2.559002	0.3896126	5.505129
78	-6071.404	-6271.781	200.3772	0.9760763	2.196214	0.4952247	4.645347
84	-6059.938	-6261.431	201.493	1.152294	2.196214	0.4952247	3.913621
90	-6063.302	-6264.091	200.7883	1.156736	1.834095	0.3780118	4.551847
96	-6065.179	-6265.711	200.5318	1.132097	2.326857	0.3780118	4.551847
102	-6067.599	-6266.08	198.4811	0.9711984	2.415784	0.4258237	5.701468
108	-6076.182	-6276.641	200.4583	0.9565522	2.153394	0.4351993	4.682513
114	-6065.43	-6264.797	199.3662	0.9960499	2.153394	0.4351993	5.267694
120	-6076.729	-6277.52	200.7904	1.089798	2.009969	0.4931941	4.410105
126	-6069.512	-6269.038	199.5258	1.101565	2.203008	0.4059005	5.136145
132	-6064.593	-6264.554	199.9609	1.163518	2.165293	0.4059005	4.871517
138	-6056.778	-6257.304	200.526	1.13815	2.165821	0.485092	4.489675
144	-6063.327	-6264.63	201.3031	1.076641	2.165821	0.5210495	4.050822
150	-6081.417	-6282.998	201.5813	1.224752	2.342329	0.4097	3.863953
156	-6059.541	-6261.192	201.6505	1.201778	2.254281	0.4097	3.863953
162	-6062.369	-6263.59	201.2211	1.246034	2.274769	0.3774221	4.113918
168	-6061.832	-6262.888	201.0568	1.202372	2.178613	0.3774221	4.261381
174	-6076.517	-6276.635	200.118	1.159971	2.511711	0.2973097	4.813349
180	-6072.128	-6272.467	200.3389	1.048936	2.511711	0.3483663	4.688483
186	-6066.287	-6266.499	200.2118	1.237625	2.217707	0.3306174	4.759921
192	-6060.336	-6260.686	200.3499	1.070198	2.636879	0.3306174	4.65809
198	-6060.784	-6260.723	199.9385	1.047955	2.005888	0.4321568	4.971352
204	-6052.648	-6251.369	198.7212	0.9106312	1.932262	0.5315721	5.650033
210	-6056.923	-6256.947	200.0238	0.95536	2.220256	0.5357674	4.810492
216	-6064.921	-6265.15	200.2292	1.037865	2.220256	0.5357674	4.649542
222	-6064.608	-6265.512	200.9045	1.020739	1.986895	0.5529752	4.338234
228	-6060.034	-6261.501	201.4673	1.092761	1.986895	0.5903015	3.945249
234	-6060.405	-6259.336	198.9314	1.019698	2.116354	0.4367546	5.504091
240	-6066.543	-6266.706	200.1633	0.9850482	1.986895	0.5910728	4.742591
246	-6060.615	-6260.098	199.4834	0.9558688	1.989718	0.439753	5.272195
252	-6059.896	-6260.863	200.9673	1.089804	1.989718	0.5687238	4.249056
258	-6053.809	-6254.591	200.7825	1.02256	1.989718	0.4713631	4.479994
264	-6062.94	-6262.951	200.0111	1.029548	2.162977	0.5705979	4.763698
270	-6064.539	-6264.641	200.1026	1.054743	2.162977	0.5293908	4.734069
276	-6065.208	-6265.519	200.3106	0.978621	1.934115	0.5293908	4.734069
282	-6071.556	-6272.06	200.5042	1.050595	2.181075	0.4666821	4.56412
288	-6064.668	-6264.179	199.5106	1.047227	2.181075	0.4666821	5.120107
294	-6073.593	-6274.071	200.4782	1.015515	2.698885	0.513832	4.407583
300	-6076.249	-6277.544	201.2949	1.135303	2.129592	0.3892771	4.166428
306	-6063.962	-6263.848	199.8859	1.066883	2.129592	0.4858255	4.898332
312	-6065.523	-6266.119	200.5959	1.031076	2.129592	0.4818268	4.524965
318	-6060.826	-6261.346	200.5202	1.102696	2.16826	0.5077077	4.490972
324	-6055.115	-6256.704	201.589	1.219356	2.086637	0.4271119	3.923438
330	-6063.046	-6265.282	202.2364	1.274214	2.185358	0.4714083	3.439521
336	-6058.66	-6260.14	201.4801	1.111797	2.157376	0.5128963	3.939796
342	-6056.844	-6257.882	201.0375	1.156819	2.180794	0.4620854	4.207808
348	-6058.351	-6258.906	200.5553	1.099556	2.180794	0.4568118	4.517706
354	-6061.946	-6263.108	201.1625	1.096903	2.246946	0.4568118	4.155767
360	-6079.039	-6279.591	200.552	1.144949	2.950754	0.3996535	4.343218
366	-6055.954	-6256.779	200.8244	1.105316	2.17736	0.3888714	4.435096
372	-6064.512	-6264.311	199.7991	1.034666	2.128229	0.3894096	5.062275
378	-6077.794	-6277.914	200.1202	1.024274	2.452611	0.429314	4.751814
384	-6056.658	-6257.601	200.9433	1.078372	2.276179	0.4833372	4.255847
390	-6053.806	-6254.821	201.0153	1.17969	2.044872	0.4833372	4.230028
396	-6059.809	-6261.046	201.237	1.174186	2.044872	0.4131158	4.178479
402	-6060.925	-6261.152	200.2266	1.002902	2.592278	0.4222013	4.67348
408	-6054.289	-6253.956	199.6676	1.060427	2.15671	0.401632	5.098976
414	-6057.959	-6257.366	199.4073	1.063426	2.15671	0.3883152	5.255718
420	-6064.47	-6263.906	199.436	1.110233	2.179071	0.4432064	5.150106
426	-6075.913	-6275.705	199.7919	1.028156	2.179071	0.4432064	4.998209
432	-6062.266	-6262.435	200.1692	1.054816	2.179071	0.4432064	4.7732
438	-6072.498	-6272.519	200.0217	1.149536	2.591288	0.3423586	4.795169
444	-6074.527	-6274.89	200.3626	1.204132	2.201494	0.3599611	4.664326
450	-6069.402	-6268.451	199.0491	1.152004	2.201494	0.3214436	5.467959
